testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
56 8388608 65536 2048 26880 76189 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 3 1 1.60 2 25165824 8388608 13421772.80 16777216 0 0 0 0.00 0
57 8388608 65536 2048 25469 80408 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 3 1 1.78 2 25165824 8388608 14913080.89 16777216 0 0 0 0.00 0
58 8388608 65536 2048 17365 117936 256 1 1 1.00 1 10200547328 75497472 8388608 39845888.00 41943040 0 0 0 0.00 0 1216 9 1 4.75 5 0 0 0 0.00 0 2 1 1.23 1 16777216 8388608 10282809.81 8388608 0 0 0 0.00 0
59 8388608 65536 2048 15575 131491 256 1 1 1.00 1 9663676416 67108864 8388608 37748736.00 41943040 0 0 0 0.00 0 1152 8 1 4.50 5 0 0 0 0.00 0 2 1 1.16 1 16777216 8388608 9741609.29 8388608 0 0 0 0.00 0
60 8388608 65536 2048 14471 141522 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 2 1 1.23 1 16777216 8388608 10324440.62 8388608 0 0 0 0.00 0
61 8388608 65536 2048 6785 301806 256 1 1 1.00 1 5905580032 25165824 16777216 23068672.00 25165824 0 0 0 0.00 0 704 3 2 2.75 3 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
62 8388608 65536 2048 7333 279251 256 1 1 1.00 1 7516192768 33554432 25165824 29360128.00 33554432 0 0 0 0.00 0 896 4 3 3.50 4 0 0 0 0.00 0 2 1 1.08 1 16777216 8388608 9033885.54 8388608 0 0 0 0.00 0
63 8388608 65536 2048 4733 432679 256 1 1 1.00 1 2147483648 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0 256 1 1 1.00 1 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
64 8388608 65536 512 61634 8307 64 1 1 1.00 1 1610612736 50331648 8388608 25165824.00 25165824 0 0 0 0.00 0 192 6 0 3.00 3 0 0 0 0.00 0 8 1 2.82 2 67108864 8388608 23685481.41 16777216 0 0 0 0.00 0
65 8388608 65536 512 64059 7992 64 1 1 1.00 1 1610612736 50331648 8388608 25165824.00 25165824 0 0 0 0.00 0 192 6 0 3.00 3 0 0 0 0.00 0 8 1 2.82 2 67108864 8388608 23685481.41 16777216 0 0 0 0.00 0
