testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
66 8388608 65536 512 26185 19553 86 2 1 1.34 1 2172649472 50331648 4194304 25263365.95 25165824 24960 640 64 290.23 256 348 6 1 4.05 4 24985 1024 64 283.92 256 3 1 1.67 1 25165824 4194304 10395452.02 8388608 33152 1152 64 315.73 256
67 8388608 65536 512 20190 25359 97 3 1 1.52 2 2206203894 50331648 4194304 22744370.04 16777216 25472 640 64 262.60 192 396 6 1 4.08 4 25497 704 43 217.92 192 2 1 1.47 1 16777216 2752512 8201501.50 8388608 33664 832 43 260.96 192
68 8388608 65536 512 19104 26800 97 2 1 1.52 2 2206203904 50331648 4194304 22744370.14 20971520 25472 640 64 262.60 256 398 6 1 4.10 4 25497 832 64 221.71 192 2 1 1.42 1 16777216 4194304 7879299.66 8388608 33664 960 64 260.96 192
69 8388608 65536 512 17853 28678 101 3 1 1.58 2 2206203884 50331648 4194304 21843602.81 20971520 25472 640 64 252.20 256 418 6 1 4.14 4 25497 768 43 212.47 171 2 1 1.44 1 16777216 2752512 7607599.67 8388608 33664 896 43 258.95 192
70 8388608 65536 512 18238 28073 161 5 1 2.52 2 2231649216 50331648 2097152 13861175.25 12582912 25858 640 26 160.61 129 658 6 1 4.09 4 25883 618 25 160.76 117 2 1 1.53 2 16777216 1638400 5201633.57 4194304 34075 746 25 206.52 128
71 8388608 65536 512 16152 31698 163 5 1 2.55 2 2261848206 41943040 2097152 13876369.36 12582912 26318 512 25 161.46 128 681 6 1 4.18 4 26343 566 32 160.63 128 2 1 1.51 2 12582912 1638400 5003644.60 4194304 34510 694 32 206.65 153
72 8388608 65536 512 16914 30270 161 6 1 2.52 2 2283378996 50331648 2097152 14182478.24 12582912 26646 640 25 165.50 160 676 6 1 4.20 4 26671 555 21 166.69 128 2 1 1.52 2 12582912 1376256 5119155.09 4194304 34838 683 21 209.87 150
73 8388608 65536 1024 31271 32745 194 3 1 1.52 1 4787098808 58720256 2796202 24675767.05 20971520 56666 768 42 292.09 256 853 7 1 4.40 5 56691 1173 43 337.45 256 4 1 1.98 2 33554432 2752512 11107667.75 8388608 73050 1301 43 382.46 299
74 8388608 65536 1024 24685 41482 195 3 1 1.52 1 4753544404 50331648 2796202 24377150.79 25165824 56152 640 42 287.96 256 863 7 1 4.43 5 56177 1322 43 348.93 256 4 1 1.98 2 33554432 2752512 10928090.34 8388608 72536 1450 43 396.37 299
75 8388608 65536 1024 28067 36484 193 3 1 1.51 1 4767525394 58720256 2796202 24702204.11 20971520 56366 768 42 292.05 256 850 7 1 4.40 5 56391 1344 42 341.76 256 4 1 1.92 1 33554432 2752512 10786751.13 8388608 72775 1472 42 381.02 256
76 8388608 65536 1024 25474 40197 248 4 1 1.94 2 4806672118 58720256 2796202 19381742.41 16777212 56970 768 42 229.72 192 1089 7 1 4.39 4 56995 853 32 280.76 235 3 1 1.83 2 25165824 2097152 8079542.43 8388608 73354 981 32 342.78 256
77 8388608 65536 1024 21299 48077 253 5 1 1.98 2 4718871331 50331648 2796202 18651665.34 16777212 55624 640 42 219.86 192 1113 7 1 4.40 4 55649 959 25 263.74 192 3 1 1.82 2 20971520 1638400 7710974.33 7667712 72033 1087 25 323.02 235
78 8388608 65536 1024 20619 49662 249 6 1 1.95 2 4749349916 50331648 2796202 19073694.44 16777212 56086 640 42 225.24 192 1108 7 1 4.45 5 56111 939 21 275.05 213 3 1 1.85 2 20971520 1376256 7942130.30 8388608 72495 1067 21 329.52 256
79 8388608 65536 1024 17722 57781 254 4 1 1.98 2 4862596298 50331648 2097152 19144079.91 16777216 57810 640 32 227.60 192 1123 7 1 4.42 5 57835 832 32 235.10 192 2 1 1.56 2 16777216 2097152 6772114.18 6946816 74219 960 32 291.05 235
80 8388608 65536 1024 17868 57309 247 5 1 1.93 2 4794368954 50331648 2097152 19410400.62 16777216 56770 640 32 229.84 192 1096 7 1 4.44 5 56795 1024 26 237.64 192 2 1 1.52 2 16777216 1703936 6631010.43 6291456 73179 1152 26 292.72 235
81 8388608 65536 1024 19735 51887 253 5 1 1.98 2 4819814362 50331648 5592404 19050649.65 16777216 57156 640 42 225.91 192 1142 7 1 4.51 5 57181 896 25 229.64 171 2 1 1.54 2 16777216 1638400 6504072.12 6946816 73540 1024 25 280.69 213
82 8388608 65536 2048 32988 62083 314 3 1 1.23 1 1806346844 67108864 4194304 5752696.96 33554432 125866 896 43 400.85 384 1509 8 1 4.81 5 125866 1920 42 469.65 384 4 1 1.88 1 33554432 2752512 12930644.06 8388608 158659 2048 42 500.50 384
83 8388608 65536 2048 35657 57436 319 4 1 1.25 1 1670731026 67108864 4194304 5237401.34 33554432 123798 896 43 388.08 384 1531 8 1 4.80 5 123798 2368 32 468.93 342 4 1 1.93 1 33554432 2097152 12922807.78 8388608 156566 2496 32 497.03 384
84 8388608 65536 2048 37662 54378 389 4 1 1.52 1 1858076418 67108864 2796202 4776546.06 25165824 126658 896 32 325.60 256 1856 8 1 4.77 5 126658 2133 32 470.85 320 5 1 2.16 2 41943040 2097152 12163145.91 8388608 159426 2261 32 510.98 384
85 8388608 65536 2048 26042 78642 395 3 1 1.54 1 5872025376 67108864 2796202 14865887.03 20971520 122372 896 42 309.80 256 1834 8 1 4.64 5 122372 1536 42 410.64 320 3 1 1.84 2 25165824 2752512 10208087.39 8388608 155165 1664 42 465.96 384
86 8388608 65536 2048 30689 66734 389 4 1 1.52 1 5944726694 67108864 2796202 15282073.76 25165824 123482 896 42 317.43 256 1847 8 1 4.75 5 123482 1600 42 382.30 299 3 1 1.79 1 25165824 2097152 9932104.75 8388608 156275 1728 43 446.50 362
87 8388608 65536 2048 27850 73536 397 4 1 1.55 1 10239693998 67108864 2796202 25792680.10 20971520 123478 896 32 311.03 256 1863 8 1 4.69 5 123503 1472 32 399.69 320 3 1 1.81 2 25165824 2097152 9941493.06 8388608 156271 1600 32 449.05 341
88 8388608 65536 2048 27743 73820 561 5 1 2.19 2 10217603382 58720256 2097152 18213196.76 13981010 123138 768 25 219.50 172 2638 8 1 4.70 5 123138 1419 25 364.31 288 3 1 2.01 2 20971520 1638400 7793635.10 8388608 155931 1547 25 438.01 384
89 8388608 65536 2048 22302 91830 567 5 1 2.21 2 10234100885 58720256 2796202 18049560.64 16777212 123390 768 26 217.62 192 2726 8 1 4.81 5 123390 1439 32 359.74 282 3 1 2.05 2 25165824 1638400 7700504.66 7667712 156183 1567 32 435.05 363
90 8388608 65536 2048 23307 87870 566 6 1 2.21 2 10376987028 58720256 1398101 18333899.34 16777212 125574 768 32 221.86 192 2668 8 1 4.71 5 125574 1407 32 366.10 299 3 1 1.99 2 25165824 1376256 7753574.94 8388608 158367 1535 32 435.07 384
