O  68 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 46343.0000 22096.1094   226 5 1 1.00 2  1063 8 1 4.70 5  30469 539 9 190.43 143  8 1 2.29 2  19005440 262144 10890532.89 8388608  38661 603 15 212.42 156  
O  69 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 42503.0000 24092.4170   230 5 1 1.00 2  1085 8 1 4.72 5  30331 592 5 175.32 138  8 1 2.27 2  18481152 131072 10578637.01 8388608  38523 656 6 203.83 161  
O  70 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 35001.0000 29256.3070   280 5 1 2.00 2  1314 8 1 4.69 5  30323 528 5 155.50 128  8 1 2.25 2  14811136 131072 8653449.88 8388608  38515 592 5 191.62 173  
O  71 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 36478.0000 28071.7145   283 5 1 2.00 2  1350 8 1 4.77 5  30007 502 3 154.68 113  8 1 2.41 2  14811136 131072 8934897.37 8388608  38174 566 7 188.98 128  
O  72 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 39295.0000 26059.2951   285 5 1 2.00 2  1338 8 1 4.69 5  30021 507 2 162.28 113  7 1 2.38 2  14548992 131072 8890546.25 8388608  38213 571 2 193.97 149  
O  73 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 63411.0000 32297.2355   382 4 1 1.00 1  1969 9 1 5.15 5  66781 910 3 253.92 192  10 1 2.53 2  29097984 131072 14006845.86 8519680  83140 974 21 273.49 213  
O  74 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 56949.0000 35962.0011   389 4 1 1.00 1  1990 9 1 5.12 5  66469 859 5 248.95 186  9 1 2.59 2  29622272 131072 14135978.67 9043968  82853 923 64 270.76 192  
O  75 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 55332.0000 37012.9401   380 3 1 1.00 1  1909 9 1 5.02 5  65749 829 2 258.85 192  9 1 2.49 2  30146560 131072 14049686.39 8388608  82108 893 5 270.98 192  
O  76 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 42000.0000 48761.9048   481 5 1 1.00 2  2428 9 1 5.05 5  66159 672 4 222.76 198  9 1 2.57 2  19922944 131072 11445290.26 9437184  82518 736 4 259.49 220  
O  77 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 42277.0000 48442.4155   461 5 1 1.00 2  2321 9 1 5.03 5  65845 808 7 229.43 184  9 1 2.47 2  20185088 131072 11450204.77 8781824  82204 872 7 260.97 215  
O  78 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 47063.0000 43516.1379   476 4 1 1.00 2  2396 9 1 5.03 5  66175 873 4 230.57 199  9 1 2.57 2  21233664 262144 11607185.03 8388608  82534 937 5 260.36 220  
O  79 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 42401.0000 48300.7476   547 5 1 2.00 2  2759 9 1 5.04 5  66061 690 5 205.16 183  8 1 2.47 2  16252928 131072 9671400.39 8388608  82445 754 8 242.49 229  
O  80 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 46146.0000 44380.8781   553 5 1 2.00 2  2741 9 1 4.96 5  64677 764 7 220.74 209  9 1 2.59 2  16384000 131072 10029792.82 8388608  81061 828 7 254.11 242  
O  81 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 46126.0000 44400.1214   545 4 1 2.00 2  2721 9 1 4.99 5  64683 687 1 214.18 181  10 1 2.59 2  16646144 131072 10106885.85 8912896  81067 751 1 251.76 226  
O  82 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 67185.0000 60965.9894   733 5 1 1.00 1  3930 10 1 5.36 5  142590 1183 4 298.31 194  11 1 2.51 2  34865152 131072 14705389.49 8388608  175383 1247 63 318.88 233  
O  83 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 74498.0000 54981.3418   749 4 1 1.00 1  4004 10 1 5.35 5  142022 1234 8 307.41 192  10 1 2.66 2  34865152 131072 15202438.54 8519680  174815 1298 11 318.42 192  
O  84 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 72451.0000 56534.7614   735 4 1 1.00 1  3950 10 1 5.37 5  142702 1251 1 304.92 192  10 1 2.56 2  35127296 131072 14915177.59 8388608  175495 1315 3 316.78 216  
O  85 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 51963.0000 78825.3180   955 5 1 1.00 2  5125 10 1 5.37 5  142112 873 1 278.65 243  9 1 2.69 2  21889024 131072 12019859.13 9568256  174905 937 6 311.22 282  
O  86 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 52263.0000 78372.8450   937 5 1 1.00 2  4965 10 1 5.30 5  142426 979 3 278.18 247  10 1 2.63 2  21495808 131072 12162620.75 9568256  175194 1043 5 309.53 281  
O  87 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 55374.0000 73969.7331   983 5 1 1.00 2  5267 10 1 5.36 5  141860 885 14 277.07 225  12 1 2.73 2  21364736 131072 11877966.38 8912896  174628 949 27 307.99 256  
O  88 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 50575.0000 80988.6307  1070 5 1 2.00 2  5667 10 1 5.30 5  142182 850 1 273.95 265  9 1 2.68 2  17956864 131072 10853531.15 9437184  174975 914 11 313.01 309  
O  89 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 46729.0000 87654.3474  1059 5 1 2.00 2  5628 10 1 5.31 5  140740 982 2 268.08 256  9 1 2.65 2  18219008 131072 10695228.48 8781824  173533 1046 10 307.68 291  
O  90 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 53849.0000 76064.5509  1102 5 1 2.00 2  5833 10 1 5.29 5  140212 878 18 283.26 255  11 1 2.87 2  19005440 131072 11157891.02 9437184  173005 942 18 312.28 290  
